iter	Passed	Remaining
0	0	499
1	0	355
2	1	374
3	1	382
4	1	383
5	2	387
6	3	548
7	4	532
8	4	523
9	5	512
10	5	501
11	6	494
12	6	487
13	6	482
14	7	476
15	7	473
16	8	486
17	8	482
18	9	479
19	9	477
20	10	473
21	10	469
22	10	466
23	11	465
24	11	464
25	12	462
26	14	523
27	14	520
28	15	512
29	16	524
30	16	519
31	18	546
32	18	543
33	19	545
34	19	542
35	20	539
36	20	538
37	21	535
38	22	559
39	23	555
40	23	552
41	24	548
42	24	552
43	25	549
44	25	545
45	26	541
46	26	538
47	28	558
48	28	554
49	29	552
50	29	549
51	29	545
52	30	540
53	30	536
54	31	534
55	31	531
56	33	547
57	33	545
58	33	541
59	34	539
60	34	537
61	35	534
62	36	543
63	37	551
64	38	553
65	38	550
66	39	547
67	41	569
68	42	566
69	42	564
70	42	562
71	43	559
72	43	556
73	44	554
74	44	551
75	45	549
76	45	546
77	46	544
78	46	542
79	46	539
80	47	537
81	47	535
82	48	533
83	48	531
84	49	529
85	50	533
86	50	532
87	51	530
88	51	528
89	52	526
90	52	525
91	53	523
92	53	521
93	53	519
94	54	518
95	54	517
96	55	516
97	55	512
98	57	522
99	57	520
100	58	523
101	59	521
102	59	519
103	60	518
104	61	520
105	61	519
106	62	517
107	62	516
108	62	514
109	63	512
110	63	511
111	64	509
112	64	507
113	65	506
114	65	504
115	65	502
116	66	502
117	66	500
118	67	499
119	67	497
120	68	496
121	68	494
122	69	493
123	69	491
124	70	490
125	70	489
126	70	487
127	71	484
128	71	483
129	72	483
130	73	488
131	74	491
132	75	489
133	75	489
134	76	488
135	76	486
136	77	485
137	77	483
138	77	482
139	78	481
140	78	480
141	79	479
142	79	478
143	80	476
144	80	475
145	81	474
146	81	473
147	82	472
148	82	470
149	82	469
150	83	468
151	83	467
152	84	466
153	84	466
154	85	465
155	85	464
156	86	463
157	86	462
158	87	461
159	89	467
160	89	467
161	90	466
162	90	465
163	91	464
164	91	463
165	92	462
166	92	461
167	92	460
168	93	459
169	93	456
170	94	457
171	94	456
172	95	455
173	95	454
174	96	453
175	96	452
176	97	451
177	97	450
178	98	449
179	98	448
180	98	447
181	99	446
182	99	445
183	100	446
184	101	445
185	101	444
186	102	443
187	102	442
188	102	441
189	103	440
190	103	439
191	105	442
192	105	441
193	106	441
194	106	440
195	107	439
196	107	437
197	107	436
198	108	436
199	108	435
200	109	434
201	109	433
202	110	434
203	111	433
204	111	432
205	112	431
206	112	430
207	112	429
208	114	431
209	114	430
210	114	429
211	115	428
212	116	430
213	116	429
214	117	428
215	117	427
216	118	426
217	118	425
218	119	424
219	119	423
220	121	428
221	122	428
222	122	426
223	123	428
224	123	427
225	124	426
226	124	425
227	125	424
228	125	423
229	126	422
230	126	421
231	127	420
232	127	419
233	128	419
234	128	418
235	129	419
236	129	418
237	130	417
238	130	416
239	131	415
240	131	414
241	132	413
242	132	412
243	132	411
244	133	410
245	133	410
246	134	409
247	134	408
248	135	407
249	135	406
250	136	407
251	138	410
252	138	409
253	139	408
254	139	407
255	140	407
256	140	406
257	140	405
258	141	404
259	141	403
260	142	403
261	143	403
262	143	402
263	143	401
264	144	400
265	144	400
266	145	399
267	145	398
268	146	397
269	146	396
270	147	395
271	147	395
272	148	394
273	148	393
274	148	392
275	149	391
276	149	390
277	150	390
278	150	389
279	151	388
280	152	391
281	153	391
282	154	390
283	154	389
284	155	389
285	155	388
286	156	387
287	156	386
288	156	386
289	157	385
290	157	384
291	158	383
292	158	382
293	159	382
294	159	381
295	159	380
296	160	379
297	160	378
298	161	377
299	161	377
300	162	376
301	162	375
302	162	374
303	163	374
304	163	373
305	164	372
306	164	372
307	165	371
308	165	370
309	166	370
310	166	369
311	167	368
312	167	367
313	167	366
314	168	366
315	168	365
316	169	364
317	169	364
318	170	363
319	170	362
320	171	361
321	171	361
322	172	360
323	172	359
324	172	359
325	173	358
326	173	357
327	174	356
328	174	356
329	175	355
330	175	354
331	176	354
332	176	353
333	176	352
334	177	352
335	177	351
336	178	350
337	178	350
338	179	349
339	179	348
340	179	347
341	180	347
342	180	346
343	181	345
344	181	345
345	182	344
346	182	343
347	183	343
348	183	342
349	183	341
350	184	341
351	184	340
352	185	339
353	185	338
354	186	338
355	186	337
356	187	336
357	187	336
358	188	335
359	188	335
360	188	334
361	189	333
362	189	333
363	190	332
364	190	331
365	191	331
366	191	330
367	192	329
368	192	329
369	192	328
370	193	327
371	193	327
372	194	326
373	194	325
374	195	325
375	195	324
376	196	324
377	196	323
378	197	322
379	197	322
380	198	321
381	198	321
382	198	320
383	199	319
384	199	319
385	200	318
386	200	317
387	201	317
388	201	316
389	202	316
390	202	315
391	202	314
392	203	314
393	204	313
394	204	313
395	204	312
396	205	311
397	205	311
398	206	310
399	206	309
400	207	309
401	207	308
402	207	308
403	208	307
404	208	306
405	209	306
406	209	305
407	210	304
408	210	304
409	211	303
410	211	303
411	211	302
412	212	302
413	212	301
414	213	300
415	213	300
416	214	299
417	214	298
418	215	298
419	215	297
420	217	299
421	217	298
422	218	297
423	218	297
424	219	296
425	219	296
426	220	295
427	220	294
428	221	294
429	221	293
430	221	292
431	222	292
432	222	291
433	223	291
434	223	290
435	224	291
436	225	290
437	226	290
438	226	289
439	227	289
440	227	288
441	228	288
442	229	287
443	229	288
444	230	287
445	230	286
446	231	286
447	231	285
448	232	285
449	232	284
450	233	284
451	233	283
452	234	282
453	234	282
454	235	281
455	235	281
456	236	280
457	236	279
458	236	279
459	237	278
460	237	278
461	238	277
462	238	277
463	239	276
464	239	275
465	240	275
466	240	274
467	241	274
468	241	273
469	242	272
470	242	272
471	242	271
472	243	271
473	243	270
474	244	270
475	244	269
476	245	268
477	245	268
478	246	267
479	246	267
480	246	266
481	248	267
482	249	266
483	250	266
484	250	266
485	251	265
486	251	265
487	252	264
488	252	263
489	252	263
490	253	262
491	253	262
492	254	261
493	254	260
494	255	260
495	255	259
496	256	259
497	256	258
498	256	257
499	257	257
500	258	257
501	258	256
502	259	256
503	259	255
504	260	255
505	260	254
506	261	253
507	261	253
508	261	252
509	262	252
510	262	251
511	263	250
512	263	250
513	264	250
514	264	249
515	265	249
516	266	248
517	266	248
518	267	247
519	267	247
520	268	246
521	268	245
522	269	245
523	269	244
524	269	244
525	270	243
526	270	243
527	271	242
528	271	241
529	272	241
530	272	240
531	272	240
532	273	239
533	273	238
534	274	238
535	274	237
536	275	237
537	275	236
538	275	236
539	276	235
540	276	234
541	277	234
542	277	233
543	278	233
544	278	232
545	279	232
546	279	231
547	280	231
548	280	230
549	281	230
550	282	230
551	282	229
552	283	229
553	283	228
554	284	227
555	284	227
556	285	226
557	285	226
558	286	225
559	287	225
560	287	225
561	288	224
562	288	224
563	289	223
564	289	223
565	290	222
566	290	221
567	290	221
568	291	220
569	291	220
570	292	219
571	292	219
572	293	218
573	293	217
574	294	217
575	294	216
576	294	216
577	295	215
578	296	215
579	296	214
580	297	214
581	298	214
582	299	214
583	299	213
584	300	212
585	300	212
586	300	211
587	301	211
588	301	210
589	302	210
590	302	209
591	303	208
592	303	208
593	303	207
594	304	207
595	304	206
596	305	206
597	305	205
598	306	205
599	306	204
600	307	203
601	307	203
602	308	202
603	308	202
604	308	201
605	309	201
606	309	200
607	310	200
608	310	199
609	311	198
610	311	198
611	312	197
612	312	197
613	313	196
614	313	196
615	314	195
616	314	195
617	315	195
618	316	194
619	317	194
620	317	193
621	317	193
622	318	192
623	318	192
624	319	191
625	319	191
626	320	190
627	320	189
628	321	189
629	321	188
630	322	188
631	322	187
632	322	187
633	323	186
634	323	186
635	324	185
636	324	184
637	325	184
638	325	183
639	325	183
640	326	182
641	326	182
642	327	181
643	327	181
644	328	180
645	328	180
646	329	179
647	329	179
648	330	178
649	331	178
650	331	177
651	332	177
652	332	176
653	332	176
654	333	175
655	333	175
656	334	174
657	334	174
658	335	173
659	335	172
660	336	172
661	336	171
662	337	171
663	337	170
664	337	170
665	338	169
666	338	169
667	339	168
668	339	168
669	340	167
670	340	166
671	340	166
672	341	165
673	341	165
674	342	164
675	342	164
676	343	163
677	343	163
678	344	162
679	344	162
680	344	161
681	345	161
682	345	160
683	346	159
684	346	159
685	347	158
686	347	158
687	348	157
688	348	157
689	349	156
690	349	156
691	350	155
692	350	155
693	350	154
694	351	154
695	351	153
696	352	153
697	352	152
698	353	152
699	353	151
700	354	151
701	354	150
702	355	150
703	355	149
704	356	149
705	356	148
706	357	147
707	357	147
708	357	146
709	358	146
710	358	145
711	359	145
712	360	145
713	360	144
714	361	143
715	362	143
716	362	143
717	363	142
718	363	142
719	364	141
720	364	141
721	365	140
722	365	140
723	365	139
724	366	138
725	366	138
726	367	137
727	367	137
728	368	136
729	368	136
730	368	135
731	369	135
732	369	134
733	370	134
734	371	133
735	373	133
736	373	133
737	374	132
738	374	132
739	375	131
740	376	131
741	376	130
742	377	130
743	377	129
744	378	129
745	379	129
746	379	128
747	379	128
748	380	127
749	380	126
750	381	126
751	381	125
752	382	125
753	382	124
754	383	124
755	383	123
756	384	123
757	385	122
758	386	122
759	387	122
760	387	121
761	388	121
762	388	120
763	389	120
764	389	119
765	390	119
766	390	118
767	392	118
768	392	117
769	393	117
770	394	117
771	394	116
772	395	116
773	395	115
774	396	115
775	396	114
776	397	113
777	397	113
778	398	112
779	398	112
780	399	112
781	399	111
782	400	110
783	401	110
784	401	109
785	402	109
786	402	108
787	403	108
788	403	107
789	404	107
790	404	106
791	404	106
792	405	105
793	405	105
794	408	105
795	408	104
796	409	104
797	409	103
798	410	103
799	410	102
800	411	102
801	411	101
802	412	101
803	412	100
804	412	100
805	413	99
806	413	98
807	414	98
808	414	97
809	415	97
810	415	96
811	415	96
812	416	95
813	416	95
814	417	94
815	418	94
816	418	93
817	419	93
818	420	92
819	420	92
820	421	91
821	421	91
822	421	90
823	422	90
824	422	89
825	423	89
826	423	88
827	424	88
828	424	87
829	425	87
830	425	86
831	426	86
832	426	85
833	427	85
834	427	84
835	428	83
836	428	83
837	428	82
838	429	82
839	429	81
840	430	81
841	430	80
842	431	80
843	431	79
844	432	79
845	432	78
846	432	78
847	433	77
848	433	77
849	434	76
850	434	76
851	435	75
852	435	75
853	435	74
854	436	73
855	436	73
856	437	72
857	437	72
858	437	71
859	438	71
860	439	70
861	439	70
862	441	70
863	441	69
864	442	69
865	442	68
866	443	68
867	443	67
868	444	66
869	444	66
870	445	65
871	445	65
872	445	64
873	446	64
874	446	63
875	447	63
876	447	62
877	448	62
878	448	61
879	449	61
880	449	60
881	449	60
882	450	59
883	450	59
884	451	58
885	451	58
886	452	57
887	452	57
888	453	56
889	453	56
890	454	55
891	454	55
892	456	54
893	457	54
894	457	53
895	457	53
896	458	52
897	458	52
898	459	51
899	459	51
900	460	50
901	460	50
902	461	49
903	461	49
904	461	48
905	462	47
906	462	47
907	463	46
908	463	46
909	464	45
910	464	45
911	465	44
912	465	44
913	465	43
914	466	43
915	466	42
916	467	42
917	467	41
918	468	41
919	468	40
920	469	40
