date,driverId,position
2004-07-05,10,10.75
2004-07-05,47,12.0
2004-03-07,7,15.0
2004-01-07,10,9.0
2003-09-09,52,13.0
2003-09-09,22,15.5
2003-07-11,20,16.666666666666668
2003-05-12,3,9.4
2003-05-12,41,11.4
2003-03-13,41,15.75
2003-03-13,3,3.5
2002-09-14,34,10.0
2002-09-14,10,9.333333333333334
2002-07-16,58,17.0
2002-05-17,55,15.75
2002-03-18,43,16.0
2002-01-17,13,14.5
2001-09-19,54,14.5
2001-07-21,55,19.75
2001-05-22,22,7.0
2001-03-23,54,9.25
2000-09-24,40,12.0
2000-09-24,56,3.0
2000-09-24,24,13.0
2000-05-27,40,14.0
2000-05-27,24,14.25
2000-05-27,56,3.25
2000-03-28,63,12.0
1999-06-02,40,15.0
1999-06-02,56,7.4
1999-06-02,24,12.0
1999-06-02,43,9.2
1999-04-03,22,9.0
2004-07-05,29,1.25
2004-01-07,29,1.0
2002-09-14,29,1.6666666666666667
2002-05-17,16,14.25
2002-01-17,61,12.0
1999-09-30,14,21.5
1999-02-02,67,7.0
1999-02-02,55,1.0
1998-10-05,49,18.0
1998-10-05,34,6.0
1998-08-06,21,14.25
1998-06-07,20,9.0
1998-04-08,56,7.8
1998-04-08,43,13.8
1998-04-08,72,14.0
1998-04-08,24,9.4
1998-02-07,13,2.0
1997-10-10,13,6.0
1997-08-11,70,10.75
1997-06-12,55,13.8
1997-04-13,49,9.666666666666666
1997-04-13,34,9.666666666666666
1997-02-12,21,16.333333333333332
1996-08-16,55,11.0
1996-08-16,83,7.5
1996-06-17,63,16.5
1996-04-18,78,15.8
1996-02-18,83,15.333333333333334
1996-02-18,55,5.0
1995-10-21,21,18.333333333333332
1995-10-21,87,23.0
1995-10-21,95,23.0
1995-08-22,78,16.0
1995-04-24,89,18.25
1995-04-24,76,5.0
1995-04-24,94,17.0
1995-02-23,49,19.0
1994-10-26,78,22.5
1994-08-27,48,17.75
1994-08-27,80,13.0
1994-08-27,86,12.75
1994-08-27,112,18.5
1994-06-28,64,14.75
1994-06-28,54,12.25
1994-04-29,55,14.5
1994-04-29,91,17.75
1994-04-29,83,11.75
1993-10-31,55,21.0
1993-10-31,110,17.0
1993-10-31,118,8.0
1993-10-31,83,6.0
1998-10-05,29,14.0
1997-04-13,29,2.3333333333333335
1995-02-23,93,20.0
1995-02-23,29,2.0
1994-02-28,104,18.0
1993-07-03,54,15.8
1993-07-03,64,11.8
1993-05-04,21,15.0
1993-05-04,87,13.666666666666666
1993-03-05,120,21.25
1993-03-05,111,11.5
1992-11-05,126,22.0
1992-09-06,130,16.0
1992-05-09,126,18.25
1992-03-10,131,30.0
1992-01-10,56,9.0
1991-09-12,137,18.0
1991-07-14,121,12.75
1991-07-14,141,33.75
1991-05-15,128,25.25
1991-03-16,119,28.0
1991-03-16,140,21.0
1991-03-16,102,15.0
1991-01-15,132,27.0
1990-09-17,137,17.75
1990-07-19,102,13.0
1990-05-20,130,12.8
1990-05-20,150,14.8
1990-03-21,91,32.0
1990-03-21,118,7.0
1990-03-21,122,12.5
1990-01-20,91,35.0
1990-01-20,118,9.0
1990-01-20,122,3.0
1989-09-22,162,22.75
1993-05-04,99,11.333333333333334
1992-03-10,29,2.6666666666666665
1992-03-10,93,14.333333333333334
1991-09-12,93,12.75
1991-09-12,29,12.0
1991-05-15,108,15.0
