model,best_param,data_name,num_train,random_state,task
carte-gnn,{'learning_rate': 0.00025},wina_pl,32,1,regression
carte-gnn,{'learning_rate': 0.001},wina_pl,32,2,regression
carte-gnn,{'learning_rate': 0.0005},wina_pl,32,3,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,32,6,regression
carte-gnn,{'learning_rate': 0.0005},wina_pl,32,8,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,32,7,regression
carte-gnn,{'learning_rate': 0.01},wina_pl,32,5,regression
carte-gnn,{'learning_rate': 0.0025},wina_pl,32,9,regression
carte-gnn,{'learning_rate': 0.0005},wina_pl,64,1,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,64,6,regression
carte-gnn,{'learning_rate': 0.0005},wina_pl,64,10,regression
carte-gnn,{'learning_rate': 0.0025},wina_pl,64,2,regression
carte-gnn,{'learning_rate': 0.0001},wina_pl,64,3,regression
carte-gnn,{'learning_rate': 0.0001},wina_pl,64,5,regression
carte-gnn,{'learning_rate': 0.00075},wina_pl,64,9,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,64,8,regression
carte-gnn,{'learning_rate': 0.0075},wina_pl,64,7,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,128,1,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,128,4,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,128,6,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,128,2,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,128,3,regression
carte-gnn,{'learning_rate': 0.0001},wina_pl,128,5,regression
carte-gnn,{'learning_rate': 0.001},wina_pl,128,10,regression
carte-gnn,{'learning_rate': 0.0001},wina_pl,128,8,regression
carte-gnn,{'learning_rate': 0.0005},wina_pl,128,9,regression
carte-gnn,{'learning_rate': 0.0005},wina_pl,128,7,regression
carte-gnn,{'learning_rate': 0.0001},wina_pl,256,1,regression
carte-gnn,{'learning_rate': 0.0001},wina_pl,256,9,regression
carte-gnn,{'learning_rate': 0.00075},wina_pl,256,8,regression
carte-gnn,{'learning_rate': 0.0001},wina_pl,256,10,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,256,7,regression
carte-gnn,{'learning_rate': 0.0005},wina_pl,256,4,regression
carte-gnn,{'learning_rate': 0.00075},wina_pl,256,2,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,256,3,regression
carte-gnn,{'learning_rate': 0.0001},wina_pl,256,6,regression
carte-gnn,{'learning_rate': 0.0005},wina_pl,256,5,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,512,4,regression
carte-gnn,{'learning_rate': 0.0001},wina_pl,512,2,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,512,6,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,512,1,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,512,3,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,512,5,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,512,9,regression
carte-gnn,{'learning_rate': 0.00025},wina_pl,512,10,regression
