model,score,data_name,num_train,random_state,task
carte-gnn,0.0374823996238734,wina_pl,32,3,regression
carte-gnn,0.0779481484257381,wina_pl,32,7,regression
carte-gnn,0.1018229603303179,wina_pl,32,2,regression
carte-gnn,0.1591534004740952,wina_pl,32,1,regression
carte-gnn,0.036779268545709,wina_pl,32,4,regression
carte-gnn,0.1909137686128882,wina_pl,32,6,regression
carte-gnn,-0.0073091204281852,wina_pl,32,5,regression
carte-gnn,0.1924514398839153,wina_pl,32,10,regression
carte-gnn,0.1454069571896272,wina_pl,32,9,regression
carte-gnn,0.2364081536477206,wina_pl,32,8,regression
carte-gnn,0.2983409080376062,wina_pl,64,5,regression
carte-gnn,0.2835596013237084,wina_pl,64,4,regression
carte-gnn,0.2332835395726409,wina_pl,64,2,regression
carte-gnn,0.1932168437084755,wina_pl,64,1,regression
carte-gnn,0.2289276016269282,wina_pl,64,3,regression
carte-gnn,0.3534187975672397,wina_pl,64,8,regression
carte-gnn,0.2744990234304163,wina_pl,64,6,regression
carte-gnn,0.3200926856296656,wina_pl,64,9,regression
carte-gnn,0.3658609678178621,wina_pl,64,10,regression
carte-gnn,0.2403915463220848,wina_pl,64,7,regression
carte-gnn,0.3955939456264373,wina_pl,128,3,regression
carte-gnn,0.4288808078270729,wina_pl,128,2,regression
carte-gnn,0.3804374874184418,wina_pl,128,8,regression
carte-gnn,0.426727522142224,wina_pl,128,4,regression
carte-gnn,0.3569649546335703,wina_pl,128,1,regression
carte-gnn,0.4346599184812131,wina_pl,128,6,regression
carte-gnn,0.435440532608721,wina_pl,128,10,regression
carte-gnn,0.5101809751625439,wina_pl,256,10,regression
carte-gnn,0.4899574193323575,wina_pl,128,7,regression
carte-gnn,0.4805205079219278,wina_pl,256,1,regression
carte-gnn,0.4297125571226218,wina_pl,128,5,regression
carte-gnn,0.4117055785406769,wina_pl,128,9,regression
carte-gnn,0.5110000828234862,wina_pl,256,8,regression
carte-gnn,0.5421544392268658,wina_pl,256,2,regression
carte-gnn,0.5226589560234554,wina_pl,256,5,regression
carte-gnn,0.4714302473560311,wina_pl,256,9,regression
carte-gnn,0.5510281829095369,wina_pl,256,7,regression
carte-gnn,0.5010672872610684,wina_pl,256,6,regression
carte-gnn,0.5172739647939577,wina_pl,256,3,regression
carte-gnn,0.5786120346026443,wina_pl,512,2,regression
carte-gnn,0.506305172032581,wina_pl,256,4,regression
carte-gnn,0.5831373328606997,wina_pl,512,3,regression
carte-gnn,0.6259729690008791,wina_pl,512,4,regression
carte-gnn,0.6007911090555207,wina_pl,512,1,regression
carte-gnn,0.6166757936355132,wina_pl,512,7,regression
carte-gnn,0.5964259284895266,wina_pl,512,5,regression
carte-gnn,0.596736549561389,wina_pl,512,6,regression
carte-gnn,0.5927000252580843,wina_pl,512,10,regression
carte-gnn,0.6162282899470759,wina_pl,512,8,regression
carte-gnn,0.6202914271605109,wina_pl,512,9,regression
carte-gnn,0.7014959142398345,wina_pl,1024,2,regression
carte-gnn,0.6838148801546311,wina_pl,1024,1,regression
carte-gnn,0.6462362677321303,wina_pl,1024,3,regression
carte-gnn,0.6753181491265339,wina_pl,1024,4,regression
carte-gnn,0.6859939497013567,wina_pl,1024,5,regression
carte-gnn,0.6712001802269417,wina_pl,1024,9,regression
carte-gnn,0.6911216799309741,wina_pl,1024,10,regression
carte-gnn,0.6501541257483262,wina_pl,1024,8,regression
carte-gnn,0.6706380868842237,wina_pl,1024,6,regression
carte-gnn,0.732044491129619,wina_pl,2048,3,regression
carte-gnn,0.6880478389374172,wina_pl,1024,7,regression
carte-gnn,0.8407177614957326,wina_pl,2048,4,regression
carte-gnn,0.7131765365886348,wina_pl,2048,5,regression
carte-gnn,0.7439323855049462,wina_pl,2048,10,regression
carte-gnn,0.7980946129235915,wina_pl,2048,7,regression
carte-gnn,0.760268115653723,wina_pl,2048,2,regression
carte-gnn,0.755310034535405,wina_pl,2048,9,regression
carte-gnn,0.7664262785271012,wina_pl,2048,8,regression
carte-gnn,0.7429166018449089,wina_pl,2048,1,regression
carte-gnn,0.726156180945692,wina_pl,2048,6,regression
carte-gnn,0.3051681397744811,wine_dot_com_prices,32,6,regression
carte-gnn,0.273194130469124,wine_dot_com_prices,32,1,regression
